line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
168-2550. McHenry County,971-42083-4900-5021,275000.00,"SECTION 2550. THE SUM OF $275,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2550 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO MCHENRY COUNTY FOR AN INTERSECTION AT QUEEN ANNE ROAD AND CHARLES ROAD.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2555. Chemung Township,971-42083-4900-5121,50000.00,"SECTION 2555. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2555 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO CHEMUNG TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2560. Alden Township,971-42083-4900-5221,50000.00,"SECTION 2560. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2560 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO ALDEN TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2565. Richmond Township,971-42083-4900-5321,50000.00,"SECTION 2565. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2565 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO RICHMOND TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2570. Dunham Township,971-42083-4900-5421,50000.00,"SECTION 2570. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2570 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO DUNHAM TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2575. Hartland Township,971-42083-4900-5521,50000.00,"SECTION 2575. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2575 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO HARTLAND TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2580. Marengo Township,971-42083-4900-5621,50000.00,"SECTION 2580. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2580 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO MARENGO TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2585. Seneca Township,971-42083-4900-5721,50000.00,"SECTION 2585. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2585 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO SENECA TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2590. Riley Township,971-42083-4900-5821,50000.00,"SECTION 2590. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2590 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO RILEY TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2595. Coral Township,971-42083-4900-5921,50000.00,"SECTION 2595. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2595 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO CORAL TOWNSHIP FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2600. Village of Hebron,971-42083-4900-6021,50000.00,"SECTION 2600. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2600 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF HEBRON FOR ROAD INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2605. City of Sesser,971-42083-4900-6121,100000.00,"SECTION 2605. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2605 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF SESSER FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2610. City of West Frankfort,971-42083-4900-6221,100000.00,"SECTION 2610. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2610 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF WEST FRANKFORT FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2615. Village of Royalton,971-42083-4900-6321,100000.00,"SECTION 2615. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2615 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF ROYALTON FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2620. City of Christopher,971-42083-4900-6421,100000.00,"SECTION 2620. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2620 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CHRISTOPHER FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2625. Village of Valier,971-42083-4900-6521,0.00,"Section 2625. The sum of $100,000 $ -0- , or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 176, Section 2625 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for a grant to the Village of Valier for general infrastructure improvements.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2630. City of Zeigler,971-42083-4900-6621,100000.00,"SECTION 2630. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2630 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF ZEIGLER FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2635. Village of North City,971-42083-4900-6721,100000.00,"SECTION 2635. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2635 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF NORTH CITY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2640. City of Marion,971-42083-4900-6821,250000.00,"SECTION 2640. THE SUM OF $250,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2640 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF MARION FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2645. City of Carterville,971-42083-4900-6921,100000.00,"SECTION 2645. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2645 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CARTERVILLE FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2655. City of Johnson City,971-42083-4900-7121,100000.00,"SECTION 2655. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2655 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF JOHNSON CITY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2660. John A. Logan Community College,971-42083-4900-7221,150000.00,"SECTION 2660. THE SUM OF $150,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2660 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO JOHN A. LOGAN COMMUNITY COLLEGE FOR CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2665. Rend Lake Conservancy District,971-42083-4900-7321,22764.00,"SECTION 2665. THE SUM OF $22,764, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM AN APPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2665 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE REND LAKE CONSERVANCY DISTRICT FOR WATER INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2670. City of Thompsonville,971-42083-4900-7421,75000.00,"SECTION 2670. THE SUM OF $75,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2670 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF THOMPSONVILLE FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2675. City of Buckner,971-42083-4900-7521,50000.00,"SECTION 2675. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2675 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF BUCKNER FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2680. City of Crab Orchard,971-42083-4900-7621,50000.00,"SECTION 2680. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2680 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CRAB ORCHARD FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2685. City of Cambria,971-42083-4900-7721,50000.00,"SECTION 2685. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2685 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CAMBRIA FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2690. Village of Crainville,971-42083-4900-7821,50000.00,"SECTION 2690. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2690 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF CRAINVILLE FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2700. Village of West City,971-42083-4900-8021,50000.00,"SECTION 2700. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2700 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF WEST CITY FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2705. Community of Akin,971-42083-4900-8121,50000.00,"SECTION 2705. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2705 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE COMMUNITY OF AKIN FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2710. Village of Ewing,971-42083-4900-8221,50000.00,"SECTION 2710. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2710 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF EWING FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2715. Village of Logan,971-42083-4900-8321,50000.00,"SECTION 2715. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2715 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF LOGAN FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
168-2720. Village of Colp,971-42083-4900-8421,50000.00,"SECTION 2720. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 176, SECTION 2720 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF COLP FOR GENERAL INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
